Freq.	V(a)
1.00000000000000e+01	(4.79740853931836e+01dB,-1.41342197100709e+02°)
1.25892541179417e+01	(4.86447739185193e+01dB,-1.47586170938094e+02°)
1.58489319246111e+01	(4.91283241570958e+01dB,-1.53245462425636e+02°)
1.99526231496888e+01	(4.94636787638265e+01dB,-1.58181399944903e+02°)
2.51188643150958e+01	(4.96894241680890e+01dB,-1.62361210168332e+02°)
3.16227766016838e+01	(4.98381444742837e+01dB,-1.65825950895715e+02°)
3.98107170553497e+01	(4.99346706515918e+01dB,-1.68655809874119e+02°)
5.01187233627272e+01	(4.99966972686087e+01dB,-1.70944264437062e+02°)
6.30957344480193e+01	(5.00362941885629e+01dB,-1.72782771783924e+02°)
7.94328234724282e+01	(5.00614651828868e+01dB,-1.74253411609540e+02°)
1.00000000000000e+02	(5.00774223652720e+01dB,-1.75426374894525e+02°)
1.25892541179417e+02	(5.00875208614480e+01dB,-1.76359990720524e+02°)
1.58489319246111e+02	(5.00939045946011e+01dB,-1.77101884648214e+02°)
1.99526231496888e+02	(5.00979371474580e+01dB,-1.77690509837407e+02°)
2.51188643150958e+02	(5.01004832157866e+01dB,-1.78156681714143e+02°)
3.16227766016838e+02	(5.01020900826476e+01dB,-1.78524958840148e+02°)
3.98107170553497e+02	(5.01031036791889e+01dB,-1.78814819395865e+02°)
5.01187233627273e+02	(5.01037424272719e+01dB,-1.79041632328656e+02°)
6.30957344480194e+02	(5.01041440561748e+01dB,-1.79217442562065e+02°)
7.94328234724282e+02	(5.01043952004448e+01dB,-1.79351595740381e+02°)
1.00000000000000e+03	(5.01045500465053e+01dB,-1.79451227543444e+02°)
1.25892541179417e+03	(5.01046420085835e+01dB,-1.79521639488119e+02°)
1.58489319246111e+03	(5.01046909335324e+01dB,-1.79566579149578e+02°)
1.99526231496888e+03	(5.01047073803686e+01dB,-1.79588438682399e+02°)
2.51188643150958e+03	(5.01046948986460e+01dB,-1.79588381692215e+02°)
3.16227766016838e+03	(5.01046507942427e+01dB,-1.79566404956636e+02°)
3.98107170553498e+03	(5.01045655479398e+01dB,-1.79521338160599e+02°)
5.01187233627273e+03	(5.01044207613642e+01dB,-1.79450781585841e+02°)
6.30957344480194e+03	(5.01041851879727e+01dB,-1.79350978442685e+02°)
7.94328234724283e+03	(5.01038079921833e+01dB,-1.79216615107722e+02°)
1.00000000000000e+04	(5.01032077902276e+01dB,-1.79040538778085e+02°)
1.25892541179417e+04	(5.01022551135954e+01dB,-1.78813377816016e+02°)
1.58489319246112e+04	(5.01007445407937e+01dB,-1.78523045188376e+02°)
1.99526231496888e+04	(5.00983505520077e+01dB,-1.78154099800675e+02°)
2.51188643150958e+04	(5.00945577538057e+01dB,-1.77686934188737e+02°)
3.16227766016839e+04	(5.00885508569338e+01dB,-1.77096750222104e+02°)
3.98107170553498e+04	(5.00790417617496e+01dB,-1.76352277996893e+02°)
5.01187233627273e+04	(5.00639991904137e+01dB,-1.75414188851118e+02°)
6.30957344480195e+04	(5.00402293417085e+01dB,-1.74233155454599e+02°)
7.94328234724283e+04	(5.00027339142818e+01dB,-1.72747528058683e+02°)
1.00000000000000e+05	(4.99437479881026e+01dB,-1.70880640436545e+02°)
1.25892541179417e+05	(4.98513483350859e+01dB,-1.68537854621091e+02°)
1.58489319246112e+05	(4.97075601477254e+01dB,-1.65603629773793e+02°)
1.99526231496888e+05	(4.94860605873948e+01dB,-1.61939176282449e+02°)
2.51188643150959e+05	(4.91500281687719e+01dB,-1.57381590368587e+02°)
3.16227766016839e+05	(4.86515732503422e+01dB,-1.51745587429492e+02°)
3.98107170553498e+05	(4.79353770756110e+01dB,-1.44828845456180e+02°)
5.01187233627273e+05	(4.69496086894405e+01dB,-1.36421881698408e+02°)
6.30957344480195e+05	(4.56646104286462e+01dB,-1.26325100351439e+02°)
7.94328234724283e+05	(4.40929600558077e+01dB,-1.14380399504828e+02°)
1.00000000000000e+06	(4.22977798430279e+01dB,-1.00526153896308e+02°)
1.25892541179417e+06	(4.03788223653591e+01dB,-8.48696859870788e+01°)
1.58489319246112e+06	(3.84397581939401e+01dB,-6.77447160992111e+01°)
1.99526231496888e+06	(3.65535095727294e+01dB,-4.97132391954734e+01°)
2.51188643150959e+06	(3.47437557468112e+01dB,-3.14978022222122e+01°)
3.16227766016839e+06	(3.29902349738143e+01dB,-1.38658070747527e+01°)
3.98107170553498e+06	(3.12512584895771e+01dB,2.49628236163085e+00°)
5.01187233627274e+06	(2.94880010009094e+01dB,1.70824938584359e+01°)
6.30957344480195e+06	(2.76777328945010e+01dB,2.96136630902929e+01°)
7.94328234724284e+06	(2.58139746653607e+01dB,4.00229763754896e+01°)
1.00000000000000e+07	(2.38998084645286e+01dB,4.83989604970881e+01°)
