Freq.	V(vo)
1.00000000000000e-03	(3.59000603780711e+01dB,-9.47501064828033e+01°)
1.25892541179417e-03	(3.78826760627767e+01dB,-9.59720465184051e+01°)
1.58489319246111e-03	(3.98552655337863e+01dB,-9.75025308140837e+01°)
1.99526231496888e-03	(4.18121740690465e+01dB,-9.94138476277956e+01°)
2.51188643150958e-03	(4.37447426142068e+01dB,-1.01789869682242e+02°)
3.16227766016838e-03	(4.56399703869121e+01dB,-1.04722825263290e+02°)
3.98107170553497e-03	(4.74789276735588e+01dB,-1.08304680005161e+02°)
5.01187233627272e-03	(4.92353278859985e+01dB,-1.12609962866931e+02°)
6.30957344480194e-03	(5.08752268327386e+01dB,-1.17667884525946e+02°)
7.94328234724282e-03	(5.23594075903038e+01dB,-1.23426835452739e+02°)
1.00000000000000e-02	(5.36498298641132e+01dB,-1.29725043367616e+02°)
1.25892541179417e-02	(5.47194604247839e+01dB,-1.36290964009718e+02°)
1.58489319246111e-02	(5.55612901008220e+01dB,-1.42790006150101e+02°)
1.99526231496888e-02	(5.61909376148174e+01dB,-1.48903873315911e+02°)
2.51188643150958e-02	(5.66409959062465e+01dB,-1.54401095582475e+02°)
3.16227766016838e-02	(5.69510048635353e+01dB,-1.59165193469043e+02°)
3.98107170553498e-02	(5.71586431530366e+01dB,-1.63180493427427e+02°)
5.01187233627273e-02	(5.72949533685890e+01dB,-1.66497929013593e+02°)
6.30957344480194e-02	(5.73832140552915e+01dB,-1.69201572659725e+02°)
7.94328234724282e-02	(5.74398400748755e+01dB,-1.71384994106216e+02°)
1.00000000000000e-01	(5.74759523436801e+01dB,-1.73137812309961e+02°)
1.25892541179417e-01	(5.74988931233164e+01dB,-1.74539543483444e+02°)
1.58489319246112e-01	(5.75134303772693e+01dB,-1.75657750688380e+02°)
1.99526231496888e-01	(5.75226278654084e+01dB,-1.76548382087963e+02°)
2.51188643150958e-01	(5.75284411264329e+01dB,-1.77257046513224e+02°)
3.16227766016838e-01	(5.75321130540028e+01dB,-1.77820565374312e+02°)
3.98107170553498e-01	(5.75344314821433e+01dB,-1.78268486608061e+02°)
5.01187233627273e-01	(5.75358949485484e+01dB,-1.78624431839148e+02°)
6.30957344480194e-01	(5.75368185873393e+01dB,-1.78907240102530e+02°)
7.94328234724283e-01	(5.75374014652761e+01dB,-1.79131913606098e+02°)
1.00000000000000e+00	(5.75377692769154e+01dB,-1.79310387765742e+02°)
1.25892541179417e+00	(5.75380013668252e+01dB,-1.79452152307595e+02°)
1.58489319246112e+00	(5.75381478127150e+01dB,-1.79564749354552e+02°)
1.99526231496888e+00	(5.75382402174346e+01dB,-1.79654171422751e+02°)
2.51188643150959e+00	(5.75382985235771e+01dB,-1.79725178715275e+02°)
3.16227766016839e+00	(5.75383353153541e+01dB,-1.79781551703096e+02°)
3.98107170553498e+00	(5.75383585338122e+01dB,-1.79826291989177e+02°)
5.01187233627273e+00	(5.75383731904777e+01dB,-1.79861781924344e+02°)
6.30957344480195e+00	(5.75383824489234e+01dB,-1.79889911360721e+02°)
7.94328234724283e+00	(5.75383883075584e+01dB,-1.79912178235485e+02°)
1.00000000000000e+01	(5.75383920309568e+01dB,-1.79929768312753e+02°)
1.25892541179417e+01	(5.75383944228034e+01dB,-1.79943618315859e+02°)
1.58489319246112e+01	(5.75383959993571e+01dB,-1.79954465805125e+02°)
1.99526231496888e+01	(5.75383971008659e+01dB,-1.79962888454212e+02°)
2.51188643150959e+01	(5.75383979649618e+01dB,-1.79969334815971e+02°)
3.16227766016839e+01	(5.75383987777977e+01dB,-1.79974148217448e+02°)
3.98107170553498e+01	(5.75383997141025e+01dB,-1.79977585060409e+02°)
5.01187233627274e+01	(5.75384009738317e+01dB,-1.79979828510231e+02°)
6.30957344480195e+01	(5.75384028239679e+01dB,-1.79980998318584e+02°)
7.94328234724284e+01	(5.75384056511734e+01dB,-1.79981157334790e+02°)
1.00000000000000e+02	(5.75384100343538e+01dB,-1.79980315112407e+02°)
1.25892541179417e+02	(5.75384168427707e+01dB,-1.79978428911268e+02°)
1.58489319246112e+02	(5.75384273587791e+01dB,-1.79975402331274e+02°)
1.99526231496889e+02	(5.75384434057231e+01dB,-1.79971081777924e+02°)
2.51188643150959e+02	(5.75384674107414e+01dB,-1.79965250874673e+02°)
3.16227766016839e+02	(5.75385022507359e+01dB,-1.79957622574007e+02°)
3.98107170553499e+02	(5.75385506318224e+01dB,-1.79947827623936e+02°)
5.01187233627274e+02	(5.75386137946921e+01dB,-1.79935395853922e+02°)
6.30957344480195e+02	(5.75386897654650e+01dB,-1.79919724478922e+02°)
7.94328234724284e+02	(5.75387722029529e+01dB,-1.79900029070406e+02°)
1.00000000000000e+03	(5.75388512108705e+01dB,-1.79875280993155e+02°)
1.25892541179417e+03	(5.75389161080834e+01dB,-1.79844142766240e+02°)
1.58489319246112e+03	(5.75389580565321e+01dB,-1.79804906432294e+02°)
1.99526231496889e+03	(5.75389703877309e+01dB,-1.79755423375627e+02°)
2.51188643150959e+03	(5.75389464722498e+01dB,-1.79693007037211e+02°)
3.16227766016839e+03	(5.75388762806918e+01dB,-1.79614296786404e+02°)
3.98107170553499e+03	(5.75387423301481e+01dB,-1.79515078330989e+02°)
5.01187233627274e+03	(5.75385146630052e+01dB,-1.79390056037911e+02°)
6.30957344480196e+03	(5.75381436982005e+01dB,-1.79232568240501e+02°)
7.94328234724285e+03	(5.75375492088808e+01dB,-1.79034231797424e+02°)
1.00000000000000e+04	(5.75366028843929e+01dB,-1.78784497888993e+02°)
