rl	V(vo)
1.000000000000000e-02	3.931523e-03
5.100000000000000e-01	2.251437e-01
1.010000000000000e+00	5.083302e-01
1.510000000000000e+00	8.837770e-01
2.010000000000000e+00	1.405343e+00
2.510000000000000e+00	2.178936e+00
3.010000000000000e+00	3.445407e+00
3.510000000000000e+00	5.035009e+00
4.010000000000000e+00	5.036324e+00
4.510000000000000e+00	5.037335e+00
5.010000000000000e+00	5.038137e+00
5.510000000000000e+00	5.038789e+00
6.010000000000000e+00	5.039329e+00
6.510000000000000e+00	5.039784e+00
7.010000000000000e+00	5.040174e+00
7.510000000000000e+00	5.040510e+00
8.010000000000000e+00	5.040804e+00
8.510000000000000e+00	5.041062e+00
9.010000000000000e+00	5.041292e+00
9.510000000000000e+00	5.041498e+00
1.001000000000000e+01	5.041682e+00
1.051000000000000e+01	5.041849e+00
1.101000000000000e+01	5.042001e+00
1.151000000000000e+01	5.042140e+00
1.201000000000000e+01	5.042267e+00
1.251000000000000e+01	5.042384e+00
1.301000000000000e+01	5.042492e+00
1.351000000000000e+01	5.042592e+00
1.401000000000000e+01	5.042685e+00
1.451000000000000e+01	5.042771e+00
1.501000000000000e+01	5.042852e+00
1.551000000000000e+01	5.042928e+00
1.601000000000000e+01	5.042999e+00
1.651000000000000e+01	5.043066e+00
1.701000000000000e+01	5.043128e+00
1.751000000000000e+01	5.043188e+00
1.801000000000000e+01	5.043243e+00
1.851000000000000e+01	5.043297e+00
1.901000000000000e+01	5.043347e+00
1.951000000000000e+01	5.043395e+00
2.001000000000000e+01	5.043440e+00
2.051000000000000e+01	5.043484e+00
2.101000000000000e+01	5.043525e+00
2.151000000000000e+01	5.043564e+00
2.201000000000000e+01	5.043602e+00
2.251000000000000e+01	5.043638e+00
2.301000000000000e+01	5.043673e+00
2.351000000000000e+01	5.043705e+00
2.401000000000000e+01	5.043737e+00
2.451000000000000e+01	5.043767e+00
2.501000000000000e+01	5.043797e+00
2.551000000000000e+01	5.043825e+00
2.601000000000000e+01	5.043852e+00
2.651000000000000e+01	5.043878e+00
2.701000000000000e+01	5.043903e+00
2.751000000000000e+01	5.043928e+00
2.801000000000000e+01	5.043951e+00
2.851000000000000e+01	5.043974e+00
2.901000000000000e+01	5.043996e+00
2.951000000000000e+01	5.044017e+00
3.001000000000000e+01	5.044037e+00
3.051000000000000e+01	5.044057e+00
3.101000000000000e+01	5.044076e+00
3.151000000000000e+01	5.044095e+00
3.201000000000000e+01	5.044113e+00
3.251000000000000e+01	5.044131e+00
3.301000000000000e+01	5.044148e+00
3.351000000000000e+01	5.044165e+00
3.401000000000000e+01	5.044180e+00
3.451000000000000e+01	5.044196e+00
3.501000000000000e+01	5.044211e+00
3.551000000000000e+01	5.044226e+00
3.601000000000000e+01	5.044240e+00
3.651000000000000e+01	5.044255e+00
3.701000000000000e+01	5.044269e+00
3.751000000000000e+01	5.044282e+00
3.801000000000000e+01	5.044295e+00
3.851000000000000e+01	5.044307e+00
3.901000000000000e+01	5.044320e+00
3.951000000000000e+01	5.044332e+00
4.001000000000000e+01	5.044343e+00
4.051000000000000e+01	5.044355e+00
4.101000000000000e+01	5.044366e+00
4.151000000000000e+01	5.044377e+00
4.201000000000000e+01	5.044388e+00
4.251000000000000e+01	5.044399e+00
4.301000000000000e+01	5.044409e+00
4.351000000000000e+01	5.044419e+00
4.401000000000000e+01	5.044429e+00
4.451000000000000e+01	5.044438e+00
4.501000000000000e+01	5.044448e+00
4.551000000000000e+01	5.044457e+00
4.601000000000000e+01	5.044466e+00
4.651000000000000e+01	5.044475e+00
4.701000000000000e+01	5.044484e+00
4.751000000000000e+01	5.044492e+00
4.801000000000000e+01	5.044500e+00
4.851000000000000e+01	5.044508e+00
4.901000000000000e+01	5.044517e+00
4.951000000000000e+01	5.044524e+00
5.000000000000000e+01	5.044532e+00
