vreg1	V(vo)
0.000000000000000e+00	-2.622653e-04
1.000000000000000e-01	5.460600e-05
2.000000000000000e-01	3.714737e-04
3.000000000000000e-01	6.883292e-04
4.000000000000000e-01	1.005176e-03
5.000000000000000e-01	1.322137e-03
6.000000000000000e-01	1.644221e-03
7.000000000000000e-01	2.188843e-03
7.999999999999999e-01	9.539694e-03
8.999999999999999e-01	5.186283e-02
9.999999999999999e-01	1.170284e-01
1.100000000000000e+00	1.899985e-01
1.200000000000000e+00	2.667339e-01
1.300000000000000e+00	3.455282e-01
1.400000000000000e+00	4.257787e-01
1.500000000000000e+00	5.069292e-01
1.600000000000000e+00	5.887213e-01
1.700000000000000e+00	6.710036e-01
1.800000000000000e+00	7.536679e-01
1.900000000000001e+00	8.366367e-01
2.000000000000000e+00	9.198536e-01
2.100000000000001e+00	1.003276e+00
2.200000000000001e+00	1.086871e+00
2.300000000000001e+00	1.170614e+00
2.400000000000001e+00	1.254484e+00
2.500000000000001e+00	1.338464e+00
2.600000000000001e+00	1.422541e+00
2.700000000000001e+00	1.506704e+00
2.800000000000001e+00	1.590943e+00
2.900000000000001e+00	1.675251e+00
3.000000000000001e+00	1.759552e+00
3.100000000000001e+00	1.844444e+00
3.200000000000002e+00	1.928293e+00
3.300000000000002e+00	2.012736e+00
3.400000000000002e+00	2.097222e+00
3.500000000000002e+00	2.181747e+00
3.600000000000002e+00	2.266308e+00
3.700000000000002e+00	2.350903e+00
3.800000000000002e+00	2.435529e+00
3.900000000000002e+00	2.520185e+00
4.000000000000002e+00	2.604867e+00
4.100000000000001e+00	2.689575e+00
4.200000000000001e+00	2.774306e+00
4.300000000000001e+00	2.859060e+00
4.400000000000000e+00	2.943835e+00
4.500000000000000e+00	3.028629e+00
4.600000000000000e+00	3.113442e+00
4.699999999999999e+00	3.198273e+00
4.799999999999999e+00	3.283120e+00
4.899999999999999e+00	3.367984e+00
4.999999999999998e+00	3.452862e+00
5.099999999999998e+00	3.537755e+00
5.199999999999998e+00	3.622661e+00
5.299999999999997e+00	3.707581e+00
5.399999999999997e+00	3.792512e+00
5.499999999999996e+00	3.877456e+00
5.599999999999996e+00	3.962411e+00
5.699999999999996e+00	4.047377e+00
5.799999999999995e+00	4.132353e+00
5.899999999999995e+00	4.217339e+00
5.999999999999995e+00	4.302335e+00
6.099999999999994e+00	4.387340e+00
6.199999999999994e+00	4.472353e+00
6.299999999999994e+00	4.557371e+00
6.399999999999993e+00	4.642384e+00
6.499999999999993e+00	4.727330e+00
6.599999999999993e+00	4.811924e+00
6.699999999999992e+00	4.894967e+00
6.799999999999992e+00	4.969766e+00
6.899999999999991e+00	5.011681e+00
6.999999999999991e+00	5.017351e+00
7.099999999999991e+00	5.018329e+00
7.199999999999990e+00	5.019210e+00
7.299999999999990e+00	5.020100e+00
7.399999999999990e+00	5.020988e+00
7.499999999999989e+00	5.021873e+00
7.599999999999989e+00	5.022758e+00
7.699999999999989e+00	5.023640e+00
7.799999999999988e+00	5.024521e+00
7.899999999999988e+00	5.025401e+00
7.999999999999988e+00	5.026279e+00
8.099999999999987e+00	5.027156e+00
8.199999999999987e+00	5.028032e+00
8.299999999999986e+00	5.028906e+00
8.399999999999986e+00	5.029780e+00
8.499999999999986e+00	5.030652e+00
8.599999999999985e+00	5.031523e+00
8.699999999999985e+00	5.032393e+00
8.799999999999985e+00	5.033262e+00
8.899999999999984e+00	5.034130e+00
8.999999999999984e+00	5.034997e+00
9.099999999999984e+00	5.035863e+00
9.199999999999983e+00	5.036728e+00
9.299999999999983e+00	5.037593e+00
9.399999999999983e+00	5.038456e+00
9.499999999999982e+00	5.039320e+00
9.599999999999982e+00	5.040182e+00
9.699999999999982e+00	5.041043e+00
9.799999999999981e+00	5.041903e+00
9.899999999999981e+00	5.042763e+00
9.999999999999980e+00	5.043622e+00
1.009999999999998e+01	5.044481e+00
1.019999999999998e+01	5.045339e+00
1.029999999999998e+01	5.046196e+00
1.039999999999998e+01	5.047053e+00
1.049999999999998e+01	5.047909e+00
1.059999999999998e+01	5.048765e+00
1.069999999999998e+01	5.049620e+00
1.079999999999998e+01	5.050475e+00
1.089999999999998e+01	5.051329e+00
1.099999999999998e+01	5.052182e+00
1.109999999999998e+01	5.053035e+00
1.119999999999998e+01	5.053888e+00
1.129999999999998e+01	5.054740e+00
1.139999999999998e+01	5.055592e+00
1.149999999999998e+01	5.056443e+00
1.159999999999997e+01	5.057294e+00
1.169999999999997e+01	5.058145e+00
1.179999999999997e+01	5.058995e+00
1.189999999999997e+01	5.059844e+00
1.199999999999997e+01	5.060694e+00
1.209999999999997e+01	5.061543e+00
1.219999999999997e+01	5.062392e+00
1.229999999999997e+01	5.063241e+00
1.239999999999997e+01	5.064088e+00
1.249999999999997e+01	5.064936e+00
1.259999999999997e+01	5.065784e+00
1.269999999999997e+01	5.066631e+00
1.279999999999997e+01	5.067478e+00
1.289999999999997e+01	5.068325e+00
1.299999999999997e+01	5.069170e+00
1.309999999999997e+01	5.070017e+00
1.319999999999997e+01	5.070863e+00
1.329999999999997e+01	5.071708e+00
1.339999999999997e+01	5.072554e+00
1.349999999999997e+01	5.073399e+00
1.359999999999997e+01	5.074244e+00
1.369999999999997e+01	5.075088e+00
1.379999999999997e+01	5.075933e+00
1.389999999999997e+01	5.076777e+00
1.399999999999997e+01	5.077621e+00
1.409999999999997e+01	5.078465e+00
1.419999999999997e+01	5.079308e+00
1.429999999999997e+01	5.080152e+00
1.439999999999996e+01	5.080995e+00
1.449999999999996e+01	5.081838e+00
1.459999999999996e+01	5.082681e+00
1.469999999999996e+01	5.083524e+00
1.479999999999996e+01	5.084366e+00
1.489999999999996e+01	5.085208e+00
1.499999999999996e+01	5.086051e+00
1.509999999999996e+01	5.086893e+00
1.519999999999996e+01	5.087735e+00
1.529999999999996e+01	5.088577e+00
1.539999999999996e+01	5.089418e+00
1.549999999999996e+01	5.090260e+00
1.559999999999996e+01	5.091101e+00
1.569999999999996e+01	5.091943e+00
1.579999999999996e+01	5.092784e+00
1.589999999999996e+01	5.093625e+00
1.599999999999996e+01	5.094466e+00
1.609999999999996e+01	5.095306e+00
1.619999999999996e+01	5.096147e+00
1.629999999999996e+01	5.096988e+00
1.639999999999996e+01	5.097828e+00
1.649999999999996e+01	5.098669e+00
1.659999999999997e+01	5.099509e+00
1.669999999999997e+01	5.100349e+00
1.679999999999997e+01	5.101189e+00
1.689999999999997e+01	5.102029e+00
1.699999999999997e+01	5.102869e+00
1.709999999999997e+01	5.103709e+00
1.719999999999997e+01	5.104549e+00
1.729999999999998e+01	5.105388e+00
1.739999999999998e+01	5.106228e+00
1.749999999999998e+01	5.107068e+00
1.759999999999998e+01	5.107907e+00
1.769999999999998e+01	5.108746e+00
1.779999999999998e+01	5.109586e+00
1.789999999999998e+01	5.110425e+00
1.799999999999999e+01	5.111264e+00
1.809999999999999e+01	5.112103e+00
1.819999999999999e+01	5.112942e+00
1.829999999999999e+01	5.113781e+00
1.839999999999999e+01	5.114620e+00
1.849999999999999e+01	5.115459e+00
1.859999999999999e+01	5.116298e+00
1.870000000000000e+01	5.117136e+00
1.880000000000000e+01	5.117975e+00
1.890000000000000e+01	5.118814e+00
1.900000000000000e+01	5.119652e+00
1.910000000000000e+01	5.120491e+00
1.920000000000000e+01	5.121329e+00
1.930000000000000e+01	5.122168e+00
1.940000000000001e+01	5.123006e+00
1.950000000000001e+01	5.123845e+00
1.960000000000001e+01	5.124683e+00
1.970000000000001e+01	5.125522e+00
1.980000000000001e+01	5.126360e+00
1.990000000000001e+01	5.127198e+00
2.000000000000000e+01	5.128036e+00
