rl	V(vo)	I(Rl)
1.000000000000000e-01	4.010515e-02	4.010515e-01
1.071773462536293e-01	4.305262e-02	4.016952e-01
1.148698354997035e-01	4.622216e-02	4.023873e-01
1.231144413344916e-01	4.963134e-02	4.031318e-01
1.319507910772894e-01	5.329924e-02	4.039327e-01
1.414213562373095e-01	5.724661e-02	4.047947e-01
1.515716566510398e-01	6.149605e-02	4.057226e-01
1.624504792712471e-01	6.607217e-02	4.067219e-01
1.741101126592248e-01	7.100183e-02	4.077984e-01
1.866065983073615e-01	7.631435e-02	4.089585e-01
2.000000000000000e-01	8.204184e-02	4.102092e-01
2.143546925072586e-01	8.821943e-02	4.115582e-01
2.297396709994070e-01	9.488568e-02	4.130139e-01
2.462288826689832e-01	1.020829e-01	4.145856e-01
2.639015821545788e-01	1.098578e-01	4.162834e-01
2.828427124746189e-01	1.182618e-01	4.181185e-01
3.031433133020795e-01	1.273516e-01	4.201035e-01
3.249009585424941e-01	1.371900e-01	4.222519e-01
3.482202253184495e-01	1.478470e-01	4.245790e-01
3.732131966147228e-01	1.594000e-01	4.271019e-01
3.999999999999998e-01	1.719357e-01	4.298393e-01
4.287093850145171e-01	1.855507e-01	4.328123e-01
4.594793419988137e-01	2.003536e-01	4.360448e-01
4.924577653379662e-01	2.164664e-01	4.395634e-01
5.278031643091573e-01	2.340269e-01	4.433980e-01
5.656854249492376e-01	2.531911e-01	4.475829e-01
6.062866266041588e-01	2.741366e-01	4.521568e-01
6.498019170849879e-01	2.970659e-01	4.571638e-01
6.964404506368987e-01	3.222115e-01	4.626548e-01
7.464263932294453e-01	3.498413e-01	4.686883e-01
7.999999999999993e-01	3.802656e-01	4.753320e-01
8.574187700290338e-01	4.138459e-01	4.826649e-01
9.189586839976271e-01	4.510061e-01	4.907795e-01
9.849155306759321e-01	4.922460e-01	4.997850e-01
1.055606328618314e+00	5.381598e-01	5.098111e-01
1.131370849898475e+00	5.894592e-01	5.210133e-01
1.212573253208317e+00	6.470038e-01	5.335792e-01
1.299603834169976e+00	7.118421e-01	5.477378e-01
1.392880901273797e+00	7.852662e-01	5.637712e-01
1.492852786458890e+00	8.688871e-01	5.820313e-01
1.599999999999998e+00	9.647400e-01	6.029625e-01
1.714837540058067e+00	1.075433e+00	6.271343e-01
1.837917367995254e+00	1.204368e+00	6.552893e-01
1.969831061351864e+00	1.356058e+00	6.884136e-01
2.111212657236628e+00	1.536638e+00	7.278461e-01
2.262741699796949e+00	1.754648e+00	7.754520e-01
2.425146506416634e+00	2.022353e+00	8.339098e-01
2.599207668339950e+00	2.358023e+00	9.072083e-01
2.785761802547594e+00	2.790109e+00	1.001561e+00
2.985705572917780e+00	3.365507e+00	1.127207e+00
3.199999999999996e+00	4.167364e+00	1.302301e+00
3.429675080116133e+00	5.034793e+00	1.468009e+00
3.675834735990507e+00	5.035487e+00	1.369889e+00
3.939662122703727e+00	5.036160e+00	1.278323e+00
4.222425314473256e+00	5.036784e+00	1.192865e+00
4.525483399593898e+00	5.037363e+00	1.113110e+00
4.850293012833267e+00	5.037899e+00	1.038679e+00
5.198415336679900e+00	5.038398e+00	9.692181e-01
5.571523605095186e+00	5.038861e+00	9.043955e-01
5.971411145835559e+00	5.039291e+00	8.439028e-01
6.399999999999991e+00	5.039690e+00	7.874517e-01
6.859350160232266e+00	5.040062e+00	7.347726e-01
7.351669471981013e+00	5.040409e+00	6.856142e-01
7.879324245407452e+00	5.040730e+00	6.397415e-01
8.444850628946510e+00	5.041030e+00	5.969355e-01
9.050966799187794e+00	5.041310e+00	5.569913e-01
9.700586025666531e+00	5.041570e+00	5.197181e-01
1.039683067335980e+01	5.041813e+00	4.849375e-01
1.114304721019037e+01	5.042039e+00	4.524830e-01
1.194282229167112e+01	5.042250e+00	4.221992e-01
1.279999999999998e+01	5.042448e+00	3.939412e-01
1.371870032046453e+01	5.042631e+00	3.675735e-01
1.470333894396202e+01	5.042803e+00	3.429699e-01
1.575864849081490e+01	5.042964e+00	3.200125e-01
1.688970125789302e+01	5.043113e+00	2.985910e-01
1.810193359837559e+01	5.043253e+00	2.786030e-01
1.940117205133306e+01	5.043385e+00	2.599526e-01
2.000000000000000e+01	5.043439e+00	2.521720e-01
