Freq.	V(a)
1.00000000000000e+01	(-4.11440398269954e+00dB,-5.14863207301915e+01°)
1.25892541179417e+01	(-5.44371096562706e+00dB,-5.77010996057747e+01°)
1.58489319246111e+01	(-6.96015893219600e+00dB,-6.33373027668475e+01°)
1.99526231496888e+01	(-8.62480377454970e+00dB,-6.82550331054632e+01°)
2.51188643150958e+01	(-1.03990583148317e+01dB,-7.24205512115675e+01°)
3.16227766016838e+01	(-1.22503381067226e+01dB,-7.58741563080231e+01°)
3.98107170553497e+01	(-1.41538120440878e+01dB,-7.86954447362955e+01°)
5.01187233627272e+01	(-1.60917855119296e+01dB,-8.09774383563511e+01°)
6.30957344480193e+01	(-1.80521886346023e+01dB,-8.28112508185566e+01°)
7.94328234724282e+01	(-2.00270176369562e+01dB,-8.42787120752887e+01°)
1.00000000000000e+02	(-2.20110603994662e+01dB,-8.54498439809533e+01°)
1.25892541179417e+02	(-2.40009617821619e+01dB,-8.63828781626812e+01°)
1.58489319246111e+02	(-2.59945778350075e+01dB,-8.71254092416755e+01°)
1.99526231496888e+02	(-2.79905449286156e+01dB,-8.77159243221342e+01°)
2.51188643150958e+02	(-2.99879982906874e+01dB,-8.81853394725030e+01°)
3.16227766016838e+02	(-3.19863905154039e+01dB,-8.85583859538128e+01°)
3.98107170553497e+02	(-3.39853754755073e+01dB,-8.88547958911833e+01°)
5.01187233627273e+02	(-3.59847344374603e+01dB,-8.90902869251915e+01°)
6.30957344480194e+02	(-3.79843291776270e+01dB,-8.92773659480077e+01°)
7.94328234724282e+02	(-3.99840722781830e+01dB,-8.94259783641248e+01°)
1.00000000000000e+03	(-4.19839083104169e+01dB,-8.95440291738357e+01°)
1.25892541179417e+03	(-4.39838018914878e+01dB,-8.96377994029297e+01°)
1.58489319246111e+03	(-4.59837300558342e+01dB,-8.97122778061028e+01°)
1.99526231496888e+03	(-4.79836773026138e+01dB,-8.97714241279680e+01°)
2.51188643150958e+03	(-4.99836322543157e+01dB,-8.98183767461985e+01°)
3.16227766016838e+03	(-5.19835852093746e+01dB,-8.98556141524452e+01°)
3.98107170553498e+03	(-5.39835260681988e+01dB,-8.98850760663821e+01°)
5.01187233627273e+03	(-5.59834422031919e+01dB,-8.99082452350783e+01°)
6.30957344480194e+03	(-5.79833158583013e+01dB,-8.99261836048569e+01°)
7.94328234724283e+03	(-5.99831206298258e+01dB,-8.99395035601920e+01°)
1.00000000000000e+04	(-6.19828165504765e+01dB,-8.99482303791078e+01°)
1.25892541179417e+04	(-6.39823434139429e+01dB,-8.99514642139918e+01°)
1.58489319246112e+04	(-6.59816126174984e+01dB,-8.99466554449034e+01°)
1.99526231496888e+04	(-6.79804999363127e+01dB,-8.99281198105423e+01°)
2.51188643150958e+04	(-6.99788475920663e+01dB,-8.98840471465024e+01°)
3.16227766016839e+04	(-7.19764987544242e+01dB,-8.97905163664116e+01°)
3.98107170553498e+04	(-7.39734201010866e+01dB,-8.95995517219606e+01°)
5.01187233627273e+04	(-7.59700250866208e+01dB,-8.92152900120368e+01°)
6.30957344480195e+04	(-7.79678465329485e+01dB,-8.84462759280190e+01°)
7.94328234724283e+04	(-7.99703522758771e+01dB,-8.69091568694766e+01°)
1.00000000000000e+05	(-8.19809518395764e+01dB,-8.38316201001368e+01°)
1.25892541179417e+05	(-8.39805072582096e+01dB,-7.76530637820906e+01°)
1.58489319246112e+05	(-8.58015578584751e+01dB,-6.53890225724488e+01°)
1.99526231496888e+05	(-8.66888622054575e+01dB,-4.33657501982290e+01°)
2.51188643150959e+05	(-8.52283462289673e+01dB,-1.51541162489603e+01°)
3.16227766016839e+05	(-8.15844160787840e+01dB,7.69238123413989e+00°)
3.98107170553498e+05	(-7.71363786014475e+01dB,2.33274905778047e+01°)
5.01187233627273e+05	(-7.24576945891469e+01dB,3.55725443220745e+01°)
6.30957344480195e+05	(-6.75908657043656e+01dB,4.72184092572420e+01°)
7.94328234724283e+05	(-6.24327412889200e+01dB,5.98540122460573e+01°)
1.00000000000000e+06	(-5.68432786148042e+01dB,7.46449493503229e+01°)
1.25892541179417e+06	(-5.07049637951393e+01dB,9.31686046638119e+01°)
1.58489319246112e+06	(-4.41375002505502e+01dB,1.18603397127573e+02°)
1.99526231496888e+06	(-3.82677498989318e+01dB,1.54425523104108e+02°)
2.51188643150959e+06	(-3.49401344968267e+01dB,-1.68959045014313e+02°)
3.16227766016839e+06	(-3.32349386951610e+01dB,-1.46296933335959e+02°)
3.98107170553498e+06	(-3.17313514438363e+01dB,-1.35771354776432e+02°)
5.01187233627274e+06	(-3.01893486902975e+01dB,-1.32220003901210e+02°)
6.30957344480195e+06	(-2.86543320209303e+01dB,-1.32522752453102e+02°)
7.94328234724284e+06	(-2.71437086510053e+01dB,-1.35165625166175e+02°)
1.00000000000000e+07	(-2.56569362478899e+01dB,-1.39655503540450e+02°)
